2001:250:1e0f::,2001:250:1fff:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2000::,2001:250:2010:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2011::,2001:250:2011:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2012::,2001:250:2013:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2014::,2001:250:2014:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2015::,2001:250:201a:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:201b::,2001:250:201b:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:201c::,2001:250:201d:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:201e::,2001:250:201e:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:201f::,2001:250:2028:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2029::,2001:250:2029:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:202a::,2001:250:2033:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2034::,2001:250:2034:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2035::,2001:250:203c:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:203d::,2001:250:203d:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:203e::,2001:250:203f:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2040::,2001:250:2042:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2043::,2001:250:2043:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2044::,2001:250:2044:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2045::,2001:250:2045:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2046::,2001:250:2046:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2047::,2001:250:2047:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2048::,2001:250:2048:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2049::,2001:250:2049:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:204a::,2001:250:204c:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:204d::,2001:250:204d:ffff:ffff:ffff:ffff:ffff,24355,CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
2001:250:204e::,2001:250:20ff:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2100::,2001:250:2100:ffff:ffff:ffff:ffff:ffff,138381,CNGI-GYN-IX-AS-AP CERNET2 regional IX at Guizhou University
2001:250:2101::,2001:250:2400:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2401::,2001:250:2402:ffff:ffff:ffff:ffff:ffff,24356,CNGI-CHQ-IX-AS-AP CERNET2 IX at Chongqing University
2001:250:2403::,2001:250:2405:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2406::,2001:250:240d:ffff:ffff:ffff:ffff:ffff,24356,CNGI-CHQ-IX-AS-AP CERNET2 IX at Chongqing University
2001:250:240e::,2001:250:240e:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:240f::,2001:250:2410:ffff:ffff:ffff:ffff:ffff,24356,CNGI-CHQ-IX-AS-AP CERNET2 IX at Chongqing University
2001:250:2411::,2001:250:2412:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
